account_id,activation_date,milestone_name,milestone_target_day,milestone_completed_date,completed
ACC-001,2026-01-10,account_setup_completed,1,2026-01-10,true
ACC-001,2026-01-10,first_data_upload,3,2026-01-12,true
ACC-001,2026-01-10,first_report_generated,7,2026-01-13,true
ACC-002,2026-01-17,account_setup_completed,1,2026-01-17,true
ACC-002,2026-01-17,first_data_upload,3,2026-01-19,true
ACC-002,2026-01-17,first_report_generated,7,2026-01-21,true
ACC-003,2026-01-24,account_setup_completed,1,2026-01-24,true
ACC-003,2026-01-24,first_data_upload,3,2026-01-26,true
ACC-003,2026-01-24,first_report_generated,7,2026-01-27,true
ACC-004,2026-02-07,account_setup_completed,1,2026-02-08,true
ACC-004,2026-02-07,first_data_upload,3,2026-02-11,true
ACC-004,2026-02-07,first_report_generated,7,2026-02-17,false
ACC-005,2026-02-21,account_setup_completed,1,2026-02-21,true
ACC-005,2026-02-21,first_data_upload,3,2026-02-23,true
ACC-005,2026-02-21,first_report_generated,7,2026-02-25,true
